observation_type,id,num_observed,survey_area,point_x,point_y,kafue_national_park_centroid,kidepo_valley_national_park_centroid,south_luangwa_national_park_centroid,north_luangwa_national_park_centroid,lukusuzi_national_park_centroid,survey_id
Buffalo,87,1,Luangwa,3563806.669,-1389593.603,,,,,,59
Buffalo,88,80,Luangwa,3566744.056,-1389537.984,,,,,,59
Buffalo,89,300,Luangwa,3532784.598,-1383500.147,,,,,,59
Buffalo,90,56,Luangwa,3531301.266,-1383438.387,,,,,,59
Buffalo,91,20,Luangwa,3542242.747,-1377279.654,,,,,,59
Buffalo,92,150,Luangwa,3551396.66,-1377347.326,,,,,,59
Buffalo,93,4,Luangwa,3595164.701,-1371208.182,,,,,,59
Buffalo,94,7,Luangwa,3532813.764,-1406205.338,,,,,,59
Buffalo,95,150,Luangwa,3531376.295,-1399973.589,,,,,,59
Buffalo,96,200,Luangwa,3531695.894,-1395289.896,,,,,,59
Buffalo,97,2,Luangwa,3520306.017,-1381709.042,,,,,,59
Buffalo,98,1,Luangwa,3530749.9,-1369331.706,,,,,,59
Buffalo,99,1,Luangwa,3585438.606,-1421496.651,,,,,,59
Buffalo,100,20,Luangwa,3591451.417,-1378827.82,,,,,,59
Hartebeest,101,0,Luangwa,3493707.115,-1473873.727,,,,,,59
Hartebeest,102,2,Luangwa,3511752.005,-1486091.357,,,,,,59
Hartebeest,103,4,Luangwa,3529544.978,-1481971.914,,,,,,59
Hartebeest,104,4,Luangwa,3620944.514,-1294500.534,,,,,,59
Hartebeest,105,6,Luangwa,3568112.061,-1340421.758,,,,,,59
Hartebeest,106,3,Luangwa,3551769.247,-1358919.637,,,,,,59
Hartebeest,107,1,Luangwa,3545849.388,-1365038.631,,,,,,59
Hartebeest,108,5,Luangwa,3554722.108,-1362012.342,,,,,,59
Hartebeest,109,3,Luangwa,3546902.247,-1361874.108,,,,,,59
Hartebeest,110,1,Luangwa,3540726.799,-1368094.605,,,,,,59
Hartebeest,111,3,Luangwa,3557797.531,-1368068.297,,,,,,59
Hartebeest,112,1,Luangwa,3562276.248,-1401914.705,,,,,,59
Hartebeest,113,2,Luangwa,3643790.725,-1280291.064,,,,,,59
Hartebeest,114,2,Luangwa,3618116.888,-1261982.445,,,,,,59
Hartebeest,115,1,Luangwa,3630674.172,-1360063.111,,,,,,59
Hartebeest,116,6,Luangwa,3600971.348,-1415427.738,,,,,,59
Hartebeest,117,4,Luangwa,3618930.077,-1384633.046,,,,,,59
Hartebeest,118,2,Luangwa,3616715.487,-1452959.679,,,,,,59
Hartebeest,119,5,Luangwa,3653114.734,-1422096.572,,,,,,59
Human Presence,120,2,Luangwa,14.833571,9.624657,,,,,,14
Human Presence,121,1,Luangwa,14.836556,9.636621,,,,,,14
Human Presence,122,1,Luangwa,14.842307,9.63657,,,,,,14
Human Presence,123,1,Luangwa,14.840417,9.642566,,,,,,14
Human Presence,124,1,Luangwa,14.814811,9.642637,,,,,,14
Human Presence,125,1,Luangwa,14.80265,9.642541,,,,,,14
Human Presence,126,1,Luangwa,14.797189,9.642687,,,,,,14
Human Presence,127,1,Luangwa,14.788879,9.642676,,,,,,14
Human Presence,128,1,Luangwa,14.781069,9.648637,,,,,,14
Human Presence,129,1,Luangwa,14.790424,9.648586,,,,,,14
Human Presence,130,1,Luangwa,14.793066,9.648588,,,,,,14
Human Presence,131,1,Luangwa,14.80132,9.648604,,,,,,14
Human Presence,132,1,Luangwa,14.809166,9.648461,,,,,,14
Human Presence,133,1,Luangwa,14.812746,9.648294,,,,,,14
Human Presence,134,1,Luangwa,14.818292,9.648818,,,,,,14
Human Presence,135,1,Luangwa,14.822841,9.648633,,,,,,14
Human Presence,136,1,Luangwa,14.828196,9.648583,,,,,,14
Human Presence,137,1,Luangwa,14.83262,9.648776,,,,,,14
Human Presence,138,1,Luangwa,14.833552,9.648739,,,,,,14
Human Presence,139,1,Luangwa,14.837555,9.648662,,,,,,14
Human Presence,140,1,Luangwa,14.838939,9.648651,,,,,,14
Human Presence,141,1,Luangwa,14.841366,9.648572,,,,,,14
Human Presence,142,1,Luangwa,14.842483,9.648572,,,,,,14
Human Presence,143,1,Luangwa,14.847434,9.648574,,,,,,14
Human Presence,144,1,Luangwa,14.842602,9.654659,,,,,,14
Human Presence,145,1,Luangwa,14.837441,9.654754,,,,,,14
Human Presence,146,1,Luangwa,14.834909,9.654674,,,,,,14
Human Presence,147,1,Luangwa,14.833024,9.654697,,,,,,14
Human Presence,148,1,Luangwa,14.831735,9.654622,,,,,,14
Human Presence,149,1,Luangwa,14.829023,9.654649,,,,,,14
Human Presence,150,1,Luangwa,14.827798,9.65467,,,,,,14
Human Presence,151,1,Luangwa,14.819131,9.654744,,,,,,14
Human Presence,152,1,Luangwa,14.81502,9.654686,,,,,,14
Human Presence,153,1,Luangwa,14.813317,9.654594,,,,,,14
Human Presence,154,1,Luangwa,14.806889,9.654679,,,,,,14
Human Presence,155,1,Luangwa,14.805609,9.65467,,,,,,14
Human Presence,156,1,Luangwa,14.804217,9.654617,,,,,,14
Human Presence,157,1,Luangwa,14.801072,9.654395,,,,,,14
Human Presence,158,1,Luangwa,14.799779,9.65441,,,,,,14
Human Presence,159,1,Luangwa,14.798062,9.654498,,,,,,14
Human Presence,160,1,Luangwa,14.796007,9.65455,,,,,,14
Human Presence,161,1,Luangwa,14.780421,9.654697,,,,,,14
Human Presence,162,1,Luangwa,14.779988,9.654687,,,,,,14
Human Presence,163,1,Luangwa,14.765969,9.654642,,,,,,14
Human Presence,164,1,Luangwa,14.763091,9.654629,,,,,,14
Human Presence,165,1,Luangwa,14.752525,9.65467,,,,,,14
Human Presence,166,1,Luangwa,14.783215,9.660577,,,,,,14
Human Presence,167,1,Luangwa,14.785118,9.660713,,,,,,14
Human Presence,168,1,Luangwa,14.78691,9.660687,,,,,,14
Human Presence,169,1,Luangwa,14.793124,9.660715,,,,,,14
Human Presence,170,1,Luangwa,14.812882,9.660601,,,,,,14
Human Presence,171,1,Luangwa,14.816642,9.660638,,,,,,14
Human Presence,172,1,Luangwa,14.820068,9.660612,,,,,,14
Human Presence,173,1,Luangwa,14.827525,9.660613,,,,,,14
Human Presence,174,1,Luangwa,14.828922,9.660572,,,,,,14
Human Presence,175,1,Luangwa,14.832711,9.660676,,,,,,14
Human Presence,176,1,Luangwa,14.834025,9.660721,,,,,,14
